site|state	city, state	address	zip
1059|TX	Schulenburg, TX		
1061|MO	Springfield, MO		
1063|NC	Marion, NC		
1068|SC	Jedburg, SC		
1070|NM	Santa Rosa, NM		
1071|CA	Tulare, CA		
1080|CA	Patterson, CA		
1082|SC	Charleston, SC		
1083|TX	Stratford, TX		
1086|IN	Marion, IN		
1092|IA	Cedar Rapids, IA		
1094|CA	Tehachapi, CA		
1096|FL	Cocoa, FL		
1098|NJ	Newark, NJ		
1103|WA	Arlington, WA		
1105|LA	Bunkie, LA		
1106|NM	Albuquerque, NM		
1110|CO	Colorado Springs, CO		
1114|IL	Bensenville, IL		
1117|IN	Rochester, IN		
1118|NM	Clovis, NM		
1126|MO	Kansas City, MO		
1128|FL	Bartow, FL		
1132|CA	Brawley, CA		
1134|TX	Orla, TX		
1135|TX	Falfurrias, TX		
1140|TX	Rhome, TX		
1143|TX	Odessa, TX		
1145|TX	Midland, TX		
1146|TX	Pecos, TX		
1147|TX	Kermit, TX		
1161|TX	Odessa, TX		
1163|PA	Emlenton, PA		
1165|NM	Jal, NM		
1169|WA	Olympia, WA		
1171|NV	Mesquite, NV		
1173|WA	Tacoma, WA		
1174|IL	Marshall, IL		
1175|AZ	Mayer, AZ		
1177|CA	Fontana, CA		
1178|AZ	Tucson, AZ		
1179|AZ	Nogales, AZ		
1180|AZ	Tonopah, AZ		
1181|IL	Rochelle, IL		
1185|AZ	Desert Springs, AZ		
1192|AZ	Wittmann, AZ		
1193|AZ	Wikieup, AZ		
1194|AZ	Phoenix, AZ		
1195|WA	Ellensburg, WA		
1205|TX	Monahans, TX		
1206|TX	Kermit, TX		
1207|TX	Monahans, TX		
1208|AZ	Yuma, AZ		
1209|TX	Midland, TX		
1211|TX	Andrews, TX		
1212|AZ	Salome, AZ		
1219|IL	Vandalia, IL		
1225|IL	Mascoutah, IL		
1227|TX	Pyote, TX		
1234|AZ	Willow Beach, AZ		
1235|AZ	Tacna, AZ		
1243|AZ	Gila Bend, AZ		
1247|TX	New Boston, TX		
1260|CA	Bakersfield, CA		
1267|CA	Palmdale, CA		
1269|AZ	San Simon, AZ		
1272|CA	Yermo, CA		
1281|AZ	Page, AZ		
1283|TX	Corsicana, TX		
1284|TX	Nash, TX		
1287|TX	Van, TX		
1288|KY	Beaver Dam, KY		
1289|TX	Denison, TX		
1290|TX	Red Oak, TX		
1292|TX	Paige, TX		
1297|TX	Italy, TX		
1299|TX	Henrietta, TX		
1303|TX	Palestine, TX		
1315|NJ	Cinnaminson, NJ		
1317|NY	Fultonville, NY		
1319|TX	Alvarado, TX		
1323|MO	Faucett, MO		
1326|CA	Colton, CA		
1327|MA	Chicopee, MA		
1328|CA	Rialto, CA		
1336|LA	Kentwood, LA		
1346|KS	Newton, KS		
1347|LA	Pearl River, LA		
1354|TX	Odessa, TX		
1360|KY	Mayfield, KY		
1370|TX	Laredo, TX		
1372|AZ	Yucca, AZ		
1380|TX	Mercedes, TX		
1381|TX	Hearne, TX		
1382|CO	Hudson, CO		
1383|AR	Jonesboro, AR		
1384|CA	Mecca, CA		
1385|CA	Bloomington, CA		
1390|GA	Ellabell, GA		
1399|AZ	Litchfield Park, AZ		
1412|IL	Zion, IL		
1433|AZ	Chandler, AZ		
1436|AL	Tuskegee, AL		
1439|LA	Port Allen, LA		
1440|AR	Bald Knob, AR		
1446|FL	Ponce De Leon, FL		
1450|TX	Eagle Pass, TX		
1452|AL	Winfield, AL		
1458|CA	Perris, CA		
1460|IL	Barry, IL		
1461|WI	Cedar Grove, WI		
1467|IL	Chicago Heights, IL		
1470|TX	Carthage, TX		
1476|IL	Belvidere, IL		
1478|WI	Kaukauna, WI		
1483|IL	Kankakee, IL		
1490|TN	Mason, TN		
1494|IL	Itasca, IL		
1495|IL	Midlothian, IL		
1505|IL	Atlanta, IL		
1549|AL	Lincoln, AL		
1550|AL	Cullman, AL		
1577|TN	Pioneer, TN		
4556|FL	Wildwood, FL		
4557|GA	Carnesville, GA		
4558|GA	Calhoun, GA		
4559|GA	Villa Rica, GA		
4560|GA	Jackson, GA		
4561|GA	Valdosta, GA		
4562|GA	Kingsland, GA		
4563|PA	Harrisburg, PA		
4566|SC	Blacksburg, SC		
4568|SC	Graniteville, SC		
4569|SC	Hardeeville, SC		
4576|SC	Saint George, SC		
4578|SC	Winnsboro, SC		
4579|SC	Saint Matthews, SC		
4580|SC	Prosperity, SC		
4581|SC	Bishopville, SC		
4584|SC	Latta, SC		
4596|TN	White Pine, TN		
4597|TN	Gordonsville, TN		
4598|TN	Niota, TN		
4599|TN	Monteagle, TN		
4619|VA	Wytheville, VA		
4622|VA	South Boston, VA		
4642|VA	Toms Brook, VA		
4649|VA	Raphine, VA		
4651|VA	Skippers, VA		
4656|VA	Disputanta, VA		
6955|NC	Haw River, NC		
6978|NC	Candor, NC		
6990|NC	Kenly, NC		
6996|NC	Warsaw, NC		
7971|NC	Conover, NC		
7976|NC	Troutman, NC		
7983|NC	Salisbury, NC		
7996|NC	Monroe, NC		
